Participant,Primary AOS discipline/s
1,Climate Change Processes
1,Physical Oceanography
2,Atmospheric Dynamics
2,Physical Oceanography
2,Modelling
3,Climate Change Processes
4,Atmospheric Dynamics
4,Climatology (excl. Climate Change Processes)
4,Modelling
5,Atmospheric Dynamics
5,Cloud Physics
5,Modelling
6,Atmospheric Dynamics
7,Atmospheric Dynamics
8,Atmospheric Radiation
8,Tropospheric and Stratospheric Physics
8,Remote Sensing
9,Cloud Physics
9,Meteorology
9,Tropospheric and Stratospheric Physics
9,Modelling
10,Climate Change Processes
10,Climatology (excl. Climate Change Processes)
10,Physical Oceanography
10,Modelling
10,AOS Research Software Engineer
10,AOS Research Computing Support
11,Cloud Physics
12,Atmospheric Dynamics
12,Meteorology
12,Tropospheric and Stratospheric Physics
12,Modelling
13,Climate Change Processes
13,Climatology (excl. Climate Change Processes)
13,Meteorology
13,AOS Research Software Engineer
13,AOS Research Computing Support
14,Atmospheric Dynamics
14,Meteorology
15,Climate Change Processes
15,Climatology (excl. Climate Change Processes)
15,Meteorology
15,Biological Oceanography
15,Physical Oceanography
15,Modelling
15,AOS Research Software Engineer
15,AOS Research Computing Support
16,Atmospheric Dynamics
16,Cloud Physics
16,Meteorology
17,Atmospheric Dynamics
17,Meteorology
17,Modelling
18,Cloud Physics
19,Atmospheric Chemistry
19,Atmospheric Dynamics
19,Climate Change Processes
19,Climatology (excl. Climate Change Processes)
19,Meteorology
20,Atmospheric Dynamics
20,Meteorology
20,Modelling
21,Atmospheric Radiation
21,Climate Change Processes
21,Modelling
22,Atmospheric Dynamics
22,Atmospheric Radiation
22,Meteorology
23,Modelling
23,AOS Research Computing Support
24,Climate Change Processes
24,Climatology (excl. Climate Change Processes)
24,Meteorology
25,Meteorology
25,Modelling
26,Modelling
27,Meteorology
27,Modelling
28,Meteorology
28,AOS Research Software Engineer
28,AOS Research Computing Support
29,Atmospheric Dynamics
29,Meteorology
29,Modelling
30,Atmospheric Aerosols
30,Atmospheric Dynamics
30,Atmospheric Radiation
30,Cloud Physics
30,Modelling
31,Cloud Physics
31,Meteorology
31,AOS Research Software Engineer
32,Atmospheric Dynamics
32,Cloud Physics
32,Meteorology
32,Modelling
33,Atmospheric Dynamics
33,Meteorology
33,Modelling
34,AOS Research Software Engineer
34,AOS Research Computing Support
35,Atmospheric Dynamics
35,Meteorology
36,Meteorology
36,AOS Research Software Engineer
36,AOS Research Computing Support
37,Meteorology
38,Meteorology
39,Atmospheric Dynamics
39,Climatology (excl. Climate Change Processes)
39,Modelling
40,Atmospheric Chemistry
40,Atmospheric Dynamics
40,Climate Change Processes
40,Climatology (excl. Climate Change Processes)
40,Meteorology
40,Tropospheric and Stratospheric Physics
41,Atmospheric Dynamics
41,Climate Change Processes
41,Climatology (excl. Climate Change Processes)
41,Cloud Physics
41,Meteorology
41,Chemical Oceanography
41,Physical Oceanography
41,Modelling
42,Atmospheric Dynamics
42,Meteorology
43,Cloud Physics
43,Meteorology
44,Physical Oceanography
44,Modelling
44,Meteorology
45,Atmospheric Dynamics
45,Meteorology
45,Modelling
46,Atmospheric Dynamics
46,Cloud Physics
46,Meteorology
48,Meteorology
49,Climatology (excl. Climate Change Processes)
50,Climatology (excl. Climate Change Processes)
51,Meteorology
52,Physical Oceanography
53,Atmospheric Dynamics
53,Atmospheric Radiation
53,Climate Change Processes
53,Climatology (excl. Climate Change Processes)
53,Cloud Physics
53,Meteorology
53,AOS Research Software Engineer
53,AOS Research Computing Support
54,Atmospheric Aerosols
54,Atmospheric Chemistry
54,Atmospheric Dynamics
54,Atmospheric Radiation
54,Climate Change Processes
54,Climatology (excl. Climate Change Processes)
54,Cloud Physics
54,Tropospheric and Stratospheric Physics
55,Atmospheric Dynamics
55,Climate Change Processes
55,Climatology (excl. Climate Change Processes)
55,Meteorology
55,Modelling
56,Atmospheric Dynamics
56,Cloud Physics
56,Meteorology
56,Modelling
56,AOS Research Software Engineer
56,AOS Research Computing Support
57,Meteorology
57,Physical Oceanography
58,Meteorology
59,Meteorology
60,Meteorology
61,Atmospheric Aerosols
61,Atmospheric Chemistry
61,Atmospheric Dynamics
61,Cloud Physics
61,Modelling
62,Meteorology
62,Modelling
63,Atmospheric Dynamics
63,Cloud Physics
63,Meteorology
63,Modelling
64,Meteorology
64,Modelling
65,Atmospheric Radiation
65,Cloud Physics
65,Meteorology
66,Meteorology
67,Atmospheric Dynamics
67,Atmospheric Radiation
67,Climate Change Processes
68,Meteorology
68,Modelling
68,AOS Research Software Engineer
69,Atmospheric Dynamics
69,Cloud Physics
69,Modelling
70,Atmospheric Dynamics
70,Meteorology
70,AOS Research Software Engineer
71,Atmospheric Radiation
71,Meteorology
71,Modelling
71,AOS Research Software Engineer
71,AOS Research Computing Support
72,Atmospheric Dynamics
72,Tropospheric and Stratospheric Physics
72,Modelling
73,Physical Oceanography
74,Atmospheric Dynamics
74,Climatology (excl. Climate Change Processes)
74,Tropospheric and Stratospheric Physics
75,Physical Oceanography
76,Atmospheric Dynamics
76,Climate Change Processes
76,Tropospheric and Stratospheric Physics
76,Modelling
77,Physical Oceanography
77,Modelling
78,AOS Research Software Engineer
79,Modelling
79,AOS Research Software Engineer
80,Atmospheric Dynamics
80,Climate Change Processes
80,Climatology (excl. Climate Change Processes)
80,Meteorology
82,Atmospheric Chemistry
83,Atmospheric Dynamics
83,Meteorology
83,Physical Oceanography
84,Climate Change Processes
85,Atmospheric Aerosols
85,Atmospheric Dynamics
85,Atmospheric Radiation
85,Modelling
85,AOS Research Software Engineer
86,Physical Oceanography
87,Physical Oceanography
88,Climate Change Processes
88,Paleoclimatology
89,Physical Oceanography
90,Meteorology
91,Climatology (excl. Climate Change Processes)
92,Climatology (excl. Climate Change Processes)
92,Modelling
92,AOS Research Software Engineer
92,AOS Research Computing Support
93,Climate Change Processes
93,Climatology (excl. Climate Change Processes)
93,Modelling
94,Physical Oceanography
94,Modelling
95,Biological Oceanography
95,Chemical Oceanography
95,Physical Oceanography
96,Physical Oceanography
96,Modelling
96,AOS Research Software Engineer
97,Atmospheric Dynamics
97,Climate Change Processes
97,Physical Oceanography
97,Modelling
98,Physical Oceanography
98,Modelling
99,Chemical Oceanography
99,AOS Research Computing Support
100,Atmospheric Dynamics
100,Climatology (excl. Climate Change Processes)
100,Modelling
101,Biological Oceanography
102,Climatology (excl. Climate Change Processes)
102,Modelling
102,AOS Research Computing Support
103,Climate Change Processes
103,Climatology (excl. Climate Change Processes)
103,Modelling
104,Atmospheric Dynamics
104,Climate Change Processes
104,Climatology (excl. Climate Change Processes)
104,Meteorology
105,Biological Oceanography
105,Chemical Oceanography
105,Physical Oceanography
106,Atmospheric Dynamics
106,Climatology (excl. Climate Change Processes)
107,Physical Oceanography
108,Physical Oceanography
109,Physical Oceanography
109,AOS Research Software Engineer
110,Physical Oceanography
111,Biological Oceanography
111,Chemical Oceanography
111,Physical Oceanography
111,Modelling
112,Physical Oceanography
112,Modelling
113,Physical Oceanography
114,Physical Oceanography
115,Physical Oceanography
115,Modelling
116,Chemical Oceanography
116,Paleoclimatology
117,Physical Oceanography
118,Physical Oceanography
119,Physical Oceanography
120,Physical Oceanography
121,Physical Oceanography
122,Climate Change Processes
122,Climatology (excl. Climate Change Processes)
123,Physical Oceanography
124,Atmospheric Dynamics
125,Atmospheric Dynamics
125,Biological Oceanography
125,Physical Oceanography
125,Modelling
126,Atmospheric Radiation
126,Climate Change Processes
126,Biological Oceanography
126,AOS Research Software Engineer
127,Physical Oceanography
128,Physical Oceanography
129,Biological Oceanography
129,Chemical Oceanography
129,Physical Oceanography
130,Meteorology
131,Physical Oceanography
132,Biological Oceanography
132,Physical Oceanography
133,Atmospheric Dynamics
133,Climate Change Processes
133,Climatology (excl. Climate Change Processes)
133,Meteorology
134,Meteorology
135,Physical Oceanography
136,Atmospheric Dynamics
136,Physical Oceanography
136,Modelling
137,Atmospheric Dynamics
137,Atmospheric Radiation
137,Climate Change Processes
137,Physical Oceanography
137,Modelling
138,AOS Research Software Engineer
139,Physical Oceanography
140,Climate Change Processes
140,Climatology (excl. Climate Change Processes)
140,Biological Oceanography
140,Chemical Oceanography
140,Physical Oceanography
140,Modelling
141,AOS Research Software Engineer
141,AOS Research Computing Support
142,Climate Change Processes
142,Physical Oceanography
143,Atmospheric Aerosols
143,Atmospheric Dynamics
143,Climate Change Processes
143,Climatology (excl. Climate Change Processes)
143,Biological Oceanography
143,Chemical Oceanography
143,Physical Oceanography
143,Modelling
144,Meteorology