participant,libraries
1,cartopy
1,cmocean
1,copy
1,importlib
1,math
1,matplotlib
1,nc_time_axis
1,numpy
1,os
1,pandas
1,proplot
1,rechunker
1,scipy
1,seaborn
1,warnings
1,xarray
1,xesmf
1,xgcm
2,cmocean
2,dask
2,dask_gateway
2,gcsfs
2,intake
2,json
2,matplotlib
2,numpy
2,os
2,rechunker
2,xarray
2,xgcm
2,xrft
2,zarr
3,argparse
3,cartopy
3,cf_units
3,cftime
3,cmdline_provenance
3,collections
3,datetime
3,dateutil
3,iris
3,logging
3,matplotlib
3,numpy
3,os
3,pandas
3,pdb
3,re
3,seaborn
3,statsmodels
3,sys
3,xarray
4,cartopy
4,cftime
4,dask
4,dask_jobqueue
4,glob
4,importlib
4,itertools
4,matplotlib
4,numpy
4,os
4,pandas
4,sys
4,xarray
5,matplotlib
5,numpy
5,pathlib
5,scipy
5,warnings
6,cartopy
6,matplotlib
6,numpy
6,xarray
7,getopt
7,matplotlib
7,numpy
7,os
7,pandas
7,scipy
7,sys
7,xarray
8,csv
8,datetime
8,h5py
8,matplotlib
8,numpy
8,os
8,pytz
9,cartopy
9,datetime
9,functools
9,ipywidgets
9,iris
9,matplotlib
9,numpy
9,pandas
9,pathlib
9,re
9,tqdm
9,warnings
9,xarray
10,dask
10,glob
10,intake
10,matplotlib
10,netcdf4
10,numpy
10,os
10,pandas
10,re
10,scipy
10,xarray
11,adpaa_python3
11,datetime
11,glob
11,matplotlib
11,numpy
11,os
11,pandas
11,requests
11,serial
11,sys
12,is
13,cartopy
13,datetime
13,geopandas
13,matplotlib
13,numpy
13,os
13,pandas
13,sys
13,time
13,xarray
14,cartopy
14,matplotlib
14,netcdf4
14,numpy
14,pandas
16,cartopy
16,datetime
16,matplotlib
16,metpy
16,nexradaws
16,numpy
16,os
16,pyart
16,pytz
16,shutil
16,siphon
16,tempfile
17,cartopy
17,datetime
17,matplotlib
17,metpy
17,numpy
17,pandas
17,siphon
17,xarray
18,calendar
18,cartopy
18,copy
18,csu_radartools
18,datetime
18,dualpol
18,fileinput
18,gatspy
18,glmtools
18,glob
18,h5py
18,lmatools
18,math
18,matplotlib
18,netcdf4
18,numpy
18,os
18,pandas
18,pickle
18,pyampr
18,pyart
18,pydap
18,pydda
18,rawpyampr
18,re
18,scipy
18,shutil
18,simplekml
18,skewt
18,statsmodels
18,sys
18,tempfile
18,time
18,tsmoothie
18,urllib
18,warnings
18,xarray
19,matplotlib
19,numpy
19,pandas
19,xarray
20,cmocean
20,copy
20,datetime
20,glob
20,matplotlib
20,metpy
20,netcdf4
20,numpy
20,pandas
20,pyart
20,scipy
21,cartopy
21,colorcet
21,datetime
21,intake
21,matplotlib
21,numpy
21,pathlib
21,seaborn
21,urllib
21,xarray
21,yaml
22,glob
22,matplotlib
22,netcdf4
22,numpy
22,pandas
22,pathlib
22,psutil
22,pygrib
22,scipy
22,sklearn
22,so
22,sys
23,copy
23,csv
23,mpl_toolkits
23,netcdf4
23,numpy
23,os
23,rtree
23,scipy
23,shapefile
23,shapely
23,sys
23,warnings
25,cartopy
25,cmocean
25,datetime
25,gc
25,matplotlib
25,metpy
25,numpy
25,pandas
25,pyart
25,xarray
26,mpi4py
26,netcdf4
26,numpy
26,xarray
27,cartopy
27,datetime
27,matplotlib
27,netcdf4
27,numpy
27,os
27,pandas
27,pygrib
27,scipy
27,xarray
28,cartopy
28,dask
28,datetime
28,matplotlib
28,metpy
28,numpy
28,pandas
28,pathlib
28,siphon
28,xarray
29,cartopy
29,cfgrib
29,datetime
29,matplotlib
29,metpy
29,netcdf4
29,numpy
29,os
29,pandas
29,pathlib
29,requests
29,s3fs
29,scipy
29,shapely
29,sphinx
29,sys
29,xarray
29,xesmf
29,zarr
30,glob
30,matplotlib
30,numpy
30,xarray
31,datetime
31,os
31,pandas
31,subprocess
31,xarray
32,datetime
32,geopy
32,matplotlib
32,metpy
32,numba
32,numpy
32,os
32,pandas
32,pathlib
32,requests
32,scipy
32,xarray
33,datetime
33,matplotlib
33,mpl_toolkits
33,netcdf4
33,nio
33,numpy
33,pylab
33,pytz
33,scipy
34,argparse
34,bgroups
34,boto3
34,bucketstore
34,dask
34,difflib
34,fileinput
34,getopt
34,glob
34,heapq
34,math
34,matplotlib
34,mpi4py
34,numpy
34,optparse
34,os
34,pylab
34,re
34,sys
34,time
34,unittest
35,bokeh
36,cartopy
36,csv
36,cx_oracle
36,datetime
36,decimal
36,exchangelib
36,geographiclib
36,gzip
36,io
36,json
36,lxml
36,math
36,matplotlib
36,mpl_toolkits
36,netcdf4
36,numpy
36,os
36,psycopg2
36,pysftp
36,re
36,requests
36,scipy
36,shapely
36,shlex
36,shutil
36,subprocess
36,sys
36,tarfile
36,time
36,urllib
36,win32com
36,xhtml2pdf
36,xml
36,zipfile
37,cartopy
37,matplotlib
37,metpy
37,pygrib
37,xarray
38,cartopy
38,matplotlib
38,os
38,pandas
39,abc
39,asyncio
39,click
39,dataclasses
39,datetime
39,numba
39,os
39,pandas
39,pickle
39,prefect
39,scipy
39,sklearn
39,typing
39,xarray
39,xesmf
40,ctypes
40,datetime
40,glob
40,gzip
40,matplotlib
40,netcdf4
40,numpy
40,pickle
40,scipy
40,sys
41,cartopy
41,matplotlib
41,metpy
41,numpy
41,pandas
41,scipy
41,xarray
42,cartopy
42,datetime
42,ipython
42,math
42,matplotlib
42,metpy
42,netcdf4
42,numpy
42,siphon
42,xarray
43,dash
43,datetime
43,matplotlib
43,metpy
43,numpy
43,pandas
43,pyart
43,scipy
43,sharpy
44,code
44,colorama
44,configargparse
44,copy
44,cprofile
44,csv
44,datetime
44,dateutil
44,errno
44,glob
44,hurricanetracker
44,io
44,ipdb
44,matplotlib
44,metpy
44,mpl_toolkits
44,mplcursors
44,mpldatacursor
44,netcdf4
44,numpy
44,os
44,pandas
44,pickle
44,pstat
44,pydap
44,pygrib
44,pyproj
44,re
44,requests
44,scipy
44,shutil
44,socket
44,struct
44,subprocess
44,sys
44,utils4hycom
44,warnings
44,xarray
45,matplotlib
45,pandas
45,scipy
45,shapely
45,sklearn
45,xarray
46,astropy
46,cartopy
46,cfgrib
46,cloudpickle
46,cmocean
46,dask
46,dask_image
46,datetime
46,gc
46,glob
46,itertools
46,joblib
46,matplotlib
46,metpy
46,mpl_toolkits
46,multiprocessing
46,netcdf4
46,numba
46,numpy
46,operator
46,os
46,osmnx
46,pandas
46,pickle
46,pyart
46,requests
46,scipy
46,shapely
46,shutil
46,siphon
46,skimage
46,sklearn
46,time
46,xarray
48,cartopy
48,matplotlib
48,numba
48,numpy
48,os
48,pyart
48,re
48,scipy
48,seaborn
49,xarray
50,numpy
50,pandas
51,geopandas
51,rioxarray
51,xarray
52,cartopy
52,cmocean
52,eofs
52,matplotlib
52,numpy
52,scipy
52,seaborn
52,waipy
52,xarray
52,xgcm
52,xroms
53,netcdf4
54,datetime
54,glob
54,matplotlib
54,numpy
54,os
54,pandas
54,sys
55,datetime
55,matplotlib
55,numpy
55,pandas
55,path
55,rasterio
55,scipy
55,xarray
56,cartopy
56,matplotlib
56,netcdf4
56,numpy
56,wrf
57,matplotlib
57,numpy
58,matplotlib
58,mpl_toolkits
58,numpy
59,matplotlib
59,numpy
60,cartopy
60,matplotlib
60,numpy
61,cartopy
61,matplotlib
61,numpy
61,os
61,sys
62,matplotlib
62,netcdf4
62,numpy
63,cartopy
63,matplotlib
63,netcdf4
63,numpy
64,csv
64,matplotlib
64,netcdf4
64,numpy
65,matplotlib
65,numpy
66,cartopy
66,matplotlib
66,netcdf4
66,numpy
66,pandas
67,cartopy
67,datetime
67,iris
67,matplotlib
67,metpy
67,netcdf4
67,os
67,pdb
67,scipy
67,subprocess
67,tropd
68,cartopy
68,dask
68,matplotlib
68,numba
68,numpy
68,xarray
69,cartopy
69,dask
69,datetime
69,glob
69,matplotlib
69,numpy
69,os
69,scipy
69,sys
69,xarray
70,collections
70,copy
70,datetime
70,grpc
70,json
70,lxml
70,matplotlib
70,metpy
70,netcdf4
70,numpy
70,pathlib
70,requests
70,siphon
70,socket
70,urllib
71,bokeh
71,fastapi
71,numpy
71,pandas
71,xarray
72,matplotlib
72,numpy
72,os
72,xarray
73,cartopy
73,matplotlib
73,numpy
73,scipy
73,xarray
74,cartopy
74,cmocean
74,matplotlib
74,numpy
74,scipy
74,xarray
75,cartopy
75,datetime
75,math
75,matplotlib
75,netcdf4
75,numpy
75,pandas
75,xarray
76,cartopy
76,cf_units
76,iris
76,matplotlib
76,numpy
76,scipy
76,xarray
77,bs4
77,cartopy
77,cmocean
77,datetime
77,erddapy
77,intake
77,joblib
77,jupyter
77,logging
77,matplotlib
77,numpy
77,os
77,pandas
77,re
77,requests
77,scipy
77,shapely
77,urllib
77,xarray
77,xgcm
78,argparse
78,calendar
78,cartopy
78,collections
78,copy
78,ctypes
78,dask
78,datetime
78,exceptions
78,fcntl
78,glob
78,gzip
78,h5py
78,logging
78,matplotlib
78,metpy
78,multiprocessing
78,netcdf4
78,numpy
78,os
78,pandas
78,pyhdf
78,re
78,scipy
78,shutil
78,string
78,sys
78,time
78,traceback
78,urllib2
78,uuid
78,xarray
79,bentoml
79,dask
79,fastai
79,geopandas
79,numpy
79,pathlib
79,statsmodels
79,xarray
80,datetime
80,glob
80,numpy
80,xarray
81,datetime
81,glob
81,numpy
81,xarray
82,cartopy
82,datetime
82,h5py
82,matplotlib
82,numpy
82,pandas
82,pathlib
82,scipy
82,sys
82,xarray
83,cartopy
83,climtas
83,cmocean
83,collections
83,dask
83,datetime
83,glob
83,matplotlib
83,numpy
83,pandas
83,scipy
83,seaborn
83,sparse
83,string
83,xarray
84,bottleneck
84,cartopy
84,dask
84,datetime
84,descartes
84,earthpy
84,gdal
84,geopandas
84,geos
84,glob
84,matplotlib
84,multiprocessing
84,ncdump
84,netcdf4
84,netcdftime
84,numpy
84,pandas
84,pyproj
84,scipy
84,seaborn
84,shapefile
84,shapely
84,subprocess
84,xarray
85,argparse
85,cartopy
85,cftime
85,dask
85,fsspec
85,gcsfs
85,matplotlib
85,numpy
85,os
85,pandas
85,scipy
85,xarray
85,zarr
86,dask
86,distributed
86,glob
86,matplotlib
86,numpy
86,pandas
86,xarray
86,xgcm
87,cartopy
87,cftime
87,dask
87,glob
87,intake
87,matplotlib
87,numpy
87,os
87,scipy
87,shutil
87,xarray
88,cartopy
88,dask
88,importlib
88,matplotlib
88,numpy
88,os
88,pandas
88,sys
88,xarray
89,cdo
89,os
89,stats
89,sys
90,datetime
90,glob
90,gzip
90,math
90,matplotlib
90,pandas
90,requests
90,scipy
90,seaborn
90,threading
90,timeit
90,xarray
91,iris
91,matplotlib
91,numpy
91,os
91,scipy
91,sys
92,dask
92,intake
92,matplotlib
92,pandas
92,pickle
92,pprint
92,sys
92,unittest
92,warnings
92,xarray
93,cartopy
93,copy
93,csv
93,dask
93,emcee
93,json
93,keras
93,math
93,matplotlib
93,netcdf4
93,numpy
93,os
93,pandas
93,pydoe
93,scipy
93,sklearn
93,sys
93,xarray
94,cf_units
94,compliance-checker
94,erddapy
94,folium
94,matplotlib
94,netcdf4
95,cartopy
95,cmocean
95,matplotlib
95,numpy
95,scipy
95,tqdm
95,xarray
95,xgcm
96,dask
96,matplotlib
96,numpy
96,sys
96,xarray
96,xesmf
96,xgcm
97,cartopy
97,cmocean
97,cosima_cookbook
97,dask
97,datetime
97,glob
97,mpl_toolkits
97,numpy
97,os
97,sys
97,time
97,warnings
97,xarray
98,argparse
98,cartopy
98,matplotlib
98,numpy
98,os
98,sys
98,xarray
99,geopandas
99,matplotlib
99,numpy
99,pandas
99,requests
99,xarray
100,cartopy
100,geopandas
100,numpy
100,pandas
100,salem
100,scipy
100,seaborn
100,xarray
101,matplotlib
101,numpy
101,os
101,pandas
101,re
101,xarray
102,argparse
102,cartopy
102,datetime
102,glob
102,matplotlib
102,netcdf4
102,numpy
102,os
102,pandas
102,scipy
102,seaborn
102,xarray
103,dask
103,distributed
103,fsspec
103,geopandas
103,intake
103,matplotlib
103,numpy
103,pandas
103,sklearn
103,xarray
103,zarr
104,cdsapi
104,cmocean
104,eofs
104,innvestigate
104,math
104,matplotlib
104,metpy
104,mpl_toolkits
104,netcdf4
104,numpy
104,palettable
104,pandas
104,scipy
104,seaborn
104,sklearn
104,sys
104,tensorflow
104,time
104,urllib3
104,windspharm
105,datetime
105,geopandas
105,matplotlib
105,numpy
105,pandas
105,plotly
105,psycopg2
105,sabor
105,scipy
105,sqalchemy
106,cartopy
106,copy
106,dask
106,geopandas
106,itertools
106,matplotlib
106,numpy
106,pandas
106,regionmask
106,scipy
106,shapely
106,xarray
107,glidertools
107,matplotlib
107,numpy
107,xarray
107,xgcm
108,matplotlib
108,numpy
108,xarray
109,cartopy
109,dask
109,holoviews
109,numpy
109,pandas
109,xarray
109,xgcm
109,xhistogram
109,xrft
110,cartopy
110,cmocean
110,matplotlib
110,numpy
110,pandas
110,scipy
110,seaborn
110,xarray
111,cmocean
111,glob
111,gsw
111,matplotlib
111,mpl_toolkits
111,numpy
111,pandas
111,pickle
111,pyspec
111,scipy
111,sqlite3
111,statistics
111,statsmodels
111,string
111,xarray
111,xrft
112,dask
112,fastjmd95
112,glob
112,matplotlib
112,numpy
112,oceanmodes
112,pyresample
112,xarray
112,xesmf
112,xgcm
112,xrft
113,metpy
114,cartopy
114,numpy
114,os
114,pandas
114,sys
114,xarray
114,xgcm
115,cartopy
115,cmocean
115,copy
115,datetime
115,glob
115,math
115,matplotlib
115,numpy
115,warnings
115,xarray
116,cartopy
116,cmocean
116,gstools
116,gsw
116,numpy
116,pandas
116,pykrige
116,seaborn
116,sklearn
116,sparse
116,statsmodels
116,xarray
116,xhistogram
117,cmocean
117,dask
117,matplotlib
117,numpy
117,pandas
117,scipy
117,sys
117,xarray
117,xrft
118,cartopy
118,cmocean
118,datetime
118,numpy
118,scipy
118,tqdm
118,xarray
119,cmocean
119,glidertools
119,pandas
119,tqdm
119,xarray
120,cartopy
120,cmcrameri
120,cmocean
120,datetime
120,dateutil
120,erddapy
120,glidertools
120,json
120,matplotlib
120,numpy
120,os
120,pandas
120,pathlib
120,sys
120,urllib
120,xarray
121,cartopy
121,matplotlib
121,nc_time_axis
121,numpy
121,pandas
121,scipy
121,sys
121,utils
121,xarray
122,cartopy
122,intake
122,matplotlib
122,numpy
122,xarray
123,numpy
123,pandas
123,pathlib
123,psycopg2
123,sqlalchemy
123,xarray
125,cartopy
125,matplotlib
125,numpy
125,os
125,pandas
125,pingouin
125,sys
125,xarray
125,xesmf
126,argparse
126,cartopy
126,collections
126,csv
126,datetime
126,fnmatch
126,glob
126,netcdf4
126,numpy
126,os
126,pandas
126,pickle
126,re
126,satpy
126,scipy
126,shapely
126,shutil
126,sklearn
126,subprocess
126,sys
126,tqdm
126,warnings
126,xmltodict
126,yaml
127,cartopy
127,cmocean
127,datetime
127,eofs
127,matplotlib
127,netcdf4
127,numpy
127,pandas
127,seaborn
127,xarray
128,cartopy
128,matplotlib
128,numpy
128,statsmodels
128,xarray
129,cartopy
129,matplotlib
129,netcdf4
129,numpy
129,os
129,sys
129,xarray
130,metpy
130,siphon
131,gsw
131,is
131,matplotlib
131,mpl_toolkits
131,numpy
131,scipy
131,sys
131,xarray
132,cartopy
132,cmocean
132,dask
132,glob
132,math
132,matplotlib
132,memory_profiler
132,numpy
132,pandas
132,random
132,xarray
133,cartopy
133,matplotlib
133,netcdf4
133,xarray
133,numpy
133,pandas
133,mpl_toolkits
133,collections
133,shapely
133,metpy
133,pathlib
133,windspharm
134,pandas
134,xarray
134,hvplot
135,parcels
135,datetime
135,numpy
135,scipy
136,cdms2
136,cdutil
136,MV2
136,numpy
136,math
136,pylab
136,matplotlib
136,mpl_toolkits
136,xarray
136,seaborn
136,matplotlib
136,pandas
136,xesmf
136,cartopy
136,numpy
136,timezonefinder
136,pytz
136,datetime
137,numpy
137,matplotlib
137,xarray
137,climlab
138,geopandas
138,pandas
138,hvplot
139,xarray
139,numpy
139,matplotlib
139,cartopy
139,pyresample
140,xarray
140,numpy
140,pandas
140,matplotlib
140,proplot
140,warnings
141,fiona
141,exifread
141,descartes
141,dash
141,cartopy
141,time
141,io
141,collections
141,uuid
141,sys
141,subprocess
141,select
141,re
141,pathlib
141,os
141,logging
141,json
141,fnmatch
141,datetime
141,csv
141,base64
141,argparse
141,select
141,geojson
141,gsw
141,imageio
141,matplotlib
141,netcdf4
141,numpy
141,pandas
141,plotly
141,pydap
141,pytz
141,rasterio
141,requests
141,scipy
141,seaborn
141,skimage
141,sklearn
141,shapely
141,sqalchemy
141,statsmodels
141,v4l2capture
141,xarray
141,xlrd
141,PIL
141,Rpi
141,asteval
141,dataclasses
141,siphon
142,cosima_cookbook
142,dask
142,os
142,sys
142,matplotlib
142,numpy
142,xarray
142,pandas
142,xesmf
143,xarray
144,numpy
144,xarray
144,cartopy
144,matplotlib
144,cmaps